,index,0
48,c5d83c2523ef15209c8faf5133a7bafb,"There was just one product missing; I received it today, thank you very much! All set! Best regards, Elenice."
49,766fc608e4f2683020fb0a121d9db23e,"The thermal bag is not only beautiful but also very spacious. The product matched the description, and the delivery was super fast—it was delivered well before the deadline."
50,5c37d7ba6ef2f031c34bb4fda3454018,Took too long to deliver
51,83414f98136ce687f7eb69e555b2519c,Super fast delivery... arrived before the date...
52,46d8249ea59101c7288936c3e6f155d7,The delivery was split into two. There was no communication from the store. I even thought they had only sent part of the product.
53,346317f9aff540395fe46893611854f8,It doesn't work and it doesn't synchronize.
54,2685a4800004a12ec09d27264ff1915f,I recommend this to all customers
55,c422274e50e900b46fee429016c5458d,I liked
56,3f6d9482c57cdb5fc7012f7b9b5ed4c5,Excellent
57,a55012f5c7e74353e92986be15d133b6,"I really liked the bathroom set. The floral pattern, the embroidery, everything is very beautiful. Great product."
58,487f8ff16eaf366dc7c01652202048c3,"Only one piece arrived, but both jewelry items are listed on the invoice and warranty."
59,ef8ae544c432bb1053ba5990bd0d6227,"I DID NOT RECEIVE THE PRODUCT, BUT THE SYSTEM INDICATES THAT I DID, IN ADDITION TO PAYING HIGH SHIPPING FEES."
60,aaab917291fea34988b9a0cb60e0716f,"I bought the unisex watch and they sent a ladies' watch, much smaller than the advertisement's specifications."
61,3f73914ab5fc1cd68ad6757c93644349,"I always buy at Lannister. For me, it's the best online store."
62,e2fd85e5df711bd91e6e96e13c741843,Excellent quality product
63,42ae74a43661be8587b2e2db054179db,Excellent value for money
64,d8f61c7fcd172785563a65cd65a8cea8,OK
65,79927442ebcbf70b2021e1339bb9a51b,I liked the attention to the delivery
66,14613df954694f243dedeaa2c8a3a5c2,"If it were glass, it would have broken; it came in the box without any inner padding, and the box was very crushed. Sorry... but I like buying from you."
67,5f938e5f5f2e9a75710b54feeb9ea610,The part did not work
68,d7ea05bb4f9c77d606fd90b1a27e317d,"I purchased the product on February 25th, and today, March 29th, it had not been delivered to my residence. I don't know if it's the Brazilian postal service that's terrible or if it was the store itself that took time to ship."
69,185cb85ede91009d7a8e685687c037ee,I made my purchase 30 days ago and haven't received my product yet. You need to improve your deliveries.
70,0c9b6ca9b3beaf0fd5d621f63844ea01,"I expected to receive it this week, which wouldn't be so extravagant, however...a longer delay than that would make me give up on Barathor."
71,c399eafa15aafaecdd1d9008f5b34ed6,"Delivered on schedule, I was happy with the purchase I made."
72,8ef36616bef00398b6e413c124f436c8,"Beautiful watch, I loved."
73,57e994485c2ebd293e4fa9cd62e5bb96,"I bought two pendant chandeliers with partner Targaryen, but they only sent me one. I filed a complaint, but haven't received a response yet. I am waiting for a solution from Lannister Stores."
